Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount,Shipping_Cost,Revenue,Total_Cost,Profit,Region,City,Year,Month_Number,Month_Name,Quarter
ORD-00422,2024-01-02,CUST-0047,PROD-203,2,64999,0.12,499,114398.24,77998,35901.24,West,Pune,2024,1,January,Q1
ORD-01673,2024-01-03,CUST-0062,PROD-306,2,89999,0.0,499,179998.0,107998,71501.0,North,Chandigarh,2024,1,January,Q1
ORD-00641,2024-01-03,CUST-0063,PROD-506,1,45000,0.08,249,41400.0,24750,16401.0,North,Chandigarh,2024,1,January,Q1
ORD-01490,2024-01-05,CUST-0007,PROD-403,2,1999,0.05,199,3798.1,1998,1601.1,South,Coimbatore,2024,1,January,Q1
ORD-01287,2024-01-05,CUST-0018,PROD-306,2,89999,0.1,299,161998.2,107998,53701.2,West,Ahmedabad,2024,1,January,Q1
ORD-00420,2024-01-07,CUST-0053,PROD-109,2,42000,0.0,99,84000.0,50400,33501.0,South,Coimbatore,2024,1,January,Q1
ORD-00179,2024-01-07,CUST-0081,PROD-112,1,44000,0.05,199,41800.0,26400,15201.0,East,Kolkata,2024,1,January,Q1
ORD-01211,2024-01-07,CUST-0074,PROD-107,1,120000,0.0,299,120000.0,72000,47701.0,West,Ahmedabad,2024,1,January,Q1
ORD-01714,2024-01-07,CUST-0058,PROD-415,1,4495,0.0,149,4495.0,2697,1649.0,East,Bhubaneswar,2024,1,January,Q1
ORD-00934,2024-01-07,CUST-0127,PROD-101,1,55000,0.05,99,52250.0,33000,19151.0,South,Coimbatore,2024,1,January,Q1
ORD-00818,2024-01-07,CUST-0166,PROD-102,1,78000,0.0,499,78000.0,46800,30701.0,South,Coimbatore,2024,1,January,Q1
ORD-00550,2024-01-09,CUST-0098,PROD-306,1,89999,0.08,299,82799.08,53999,28501.08,East,Patna,2024,1,January,Q1
ORD-01436,2024-01-09,CUST-0108,PROD-103,2,95000,0.12,149,167200.0,114000,53051.0,West,Mumbai,2024,1,January,Q1
ORD-00371,2024-01-09,CUST-0072,PROD-303,1,145000,0.0,499,145000.0,87000,57501.0,West,Indore,2024,1,January,Q1
ORD-01160,2024-01-09,CUST-0179,PROD-308,1,125000,0.0,199,125000.0,75000,49801.0,West,Nagpur,2024,1,January,Q1
ORD-01761,2024-01-10,CUST-0028,PROD-104,1,32000,0.1,149,28800.0,19200,9451.0,North,Chandigarh,2024,1,January,Q1
ORD-01467,2024-01-11,CUST-0119,PROD-106,1,48000,0.1,299,43200.0,28800,14101.0,West,Mumbai,2024,1,January,Q1
ORD-00442,2024-01-13,CUST-0116,PROD-101,1,55000,0.05,99,52250.0,33000,19151.0,North,Lucknow,2024,1,January,Q1
ORD-01357,2024-01-14,CUST-0134,PROD-109,2,42000,0.15,299,71400.0,50400,20701.0,South,Kochi,2024,1,January,Q1
ORD-00663,2024-01-14,CUST-0181,PROD-306,1,89999,0.0,199,89999.0,53999,35801.0,North,Lucknow,2024,1,January,Q1
ORD-01853,2024-01-14,CUST-0111,PROD-209,2,29999,0.1,199,53998.2,35998,17801.2,West,Pune,2024,1,January,Q1
ORD-01241,2024-01-15,CUST-0099,PROD-102,1,78000,0.05,99,74100.0,46800,27201.0,North,Lucknow,2024,1,January,Q1
ORD-01001,2024-01-16,CUST-0145,PROD-507,2,42000,0.12,99,73920.0,46200,27621.0,North,Lucknow,2024,1,January,Q1
ORD-00228,2024-01-16,CUST-0043,PROD-414,1,5995,0.05,299,5695.25,3597,1799.25,South,Coimbatore,2024,1,January,Q1
ORD-00892,2024-01-16,CUST-0172,PROD-405,1,2299,0.08,249,2115.08,1149,717.08,North,Lucknow,2024,1,January,Q1
ORD-01816,2024-01-16,CUST-0183,PROD-403,2,1999,0.1,0,3598.2,1998,1600.2,West,Ahmedabad,2024,1,January,Q1
ORD-00208,2024-01-17,CUST-0090,PROD-414,1,5995,0.0,0,5995.0,3597,2398.0,South,Chennai,2024,1,January,Q1
ORD-01528,2024-01-17,CUST-0025,PROD-106,1,48000,0.05,499,45600.0,28800,16301.0,West,Pune,2024,1,January,Q1
ORD-00248,2024-01-18,CUST-0171,PROD-211,1,24999,0.08,249,22999.08,14999,7751.08,South,Chennai,2024,1,January,Q1
ORD-01800,2024-01-19,CUST-0113,PROD-405,2,2299,0.05,149,4368.1,2298,1921.1,West,Mumbai,2024,1,January,Q1
ORD-01198,2024-01-20,CUST-0194,PROD-209,1,29999,0.0,99,29999.0,17999,11901.0,South,Coimbatore,2024,1,January,Q1
ORD-01951,2024-01-21,CUST-0009,PROD-105,1,22000,0.15,0,18700.0,13200,5500.0,South,Bangalore,2024,1,January,Q1
ORD-00492,2024-01-21,CUST-0182,PROD-208,1,134999,0.0,0,134999.0,80999,54000.0,East,Patna,2024,1,January,Q1
ORD-01826,2024-01-22,CUST-0175,PROD-302,1,165000,0.0,149,165000.0,99000,65851.0,West,Indore,2024,1,January,Q1
ORD-01501,2024-01-22,CUST-0109,PROD-303,1,145000,0.05,199,137750.0,87000,50551.0,South,Coimbatore,2024,1,January,Q1
ORD-00470,2024-01-23,CUST-0008,PROD-112,1,44000,0.05,499,41800.0,26400,14901.0,East,Bhubaneswar,2024,1,January,Q1
ORD-00851,2024-01-24,CUST-0079,PROD-409,1,4999,0.05,299,4749.05,2499,1951.05,South,Coimbatore,2024,1,January,Q1
ORD-01295,2024-01-24,CUST-0193,PROD-401,1,2499,0.15,299,2124.15,1249,576.15,West,Nagpur,2024,1,January,Q1
ORD-00123,2024-01-24,CUST-0022,PROD-410,1,2799,0.12,249,2463.12,1399,815.12,North,Lucknow,2024,1,January,Q1
ORD-00307,2024-01-26,CUST-0113,PROD-302,1,165000,0.08,199,151800.0,99000,52601.0,West,Mumbai,2024,1,January,Q1
ORD-00278,2024-01-27,CUST-0118,PROD-205,1,54999,0.0,249,54999.0,32999,21751.0,North,Chandigarh,2024,1,January,Q1
ORD-01529,2024-01-28,CUST-0103,PROD-408,1,3799,0.05,299,3609.05,1899,1411.05,West,Indore,2024,1,January,Q1
ORD-01311,2024-01-28,CUST-0052,PROD-204,2,89999,0.05,149,170998.1,107998,62851.1,West,Mumbai,2024,1,January,Q1
ORD-01633,2024-01-28,CUST-0036,PROD-304,1,135000,0.08,199,124200.0,81000,43001.0,South,Kochi,2024,1,January,Q1
ORD-01414,2024-01-29,CUST-0003,PROD-112,1,44000,0.08,199,40480.0,26400,13881.0,West,Indore,2024,1,January,Q1
ORD-01809,2024-01-29,CUST-0056,PROD-504,5,5499,0.1,499,24745.5,15120,9126.5,North,Jaipur,2024,1,January,Q1
ORD-00545,2024-01-29,CUST-0048,PROD-102,1,78000,0.05,499,74100.0,46800,26801.0,West,Mumbai,2024,1,January,Q1
ORD-00045,2024-01-29,CUST-0002,PROD-203,1,64999,0.0,499,64999.0,38999,25501.0,South,Bangalore,2024,1,January,Q1
ORD-00537,2024-01-30,CUST-0127,PROD-112,1,44000,0.05,499,41800.0,26400,14901.0,South,Coimbatore,2024,1,January,Q1
ORD-01464,2024-01-30,CUST-0039,PROD-205,1,54999,0.08,99,50599.08,32999,17501.08,South,Bangalore,2024,1,January,Q1
ORD-01226,2024-01-30,CUST-0182,PROD-401,2,2499,0.0,0,4998.0,2498,2500.0,East,Patna,2024,1,January,Q1
ORD-01717,2024-01-31,CUST-0168,PROD-212,1,34999,0.08,99,32199.08,20999,11101.08,South,Chennai,2024,1,January,Q1
ORD-00457,2024-01-31,CUST-0131,PROD-408,4,3799,0.08,0,13980.32,7596,6384.32,West,Nagpur,2024,1,January,Q1
ORD-00449,2024-01-31,CUST-0092,PROD-411,1,12995,0.12,99,11435.6,7797,3539.6,West,Nagpur,2024,1,January,Q1
ORD-00981,2024-01-31,CUST-0192,PROD-407,4,3299,0.08,99,12140.32,6596,5445.32,East,Kolkata,2024,1,January,Q1
ORD-01715,2024-01-31,CUST-0132,PROD-306,1,89999,0.05,149,85499.05,53999,31351.05,North,Lucknow,2024,1,January,Q1
ORD-01114,2024-02-01,CUST-0104,PROD-109,1,42000,0.12,299,36960.0,25200,11461.0,South,Hyderabad,2024,2,February,Q1
ORD-00495,2024-02-01,CUST-0136,PROD-404,2,3499,0.05,249,6648.1,3498,2901.1,West,Surat,2024,2,February,Q1
ORD-01658,2024-02-01,CUST-0191,PROD-411,4,12995,0.15,299,44183.0,31188,12696.0,North,Jaipur,2024,2,February,Q1
ORD-00541,2024-02-01,CUST-0008,PROD-108,1,85000,0.15,249,72250.0,51000,21001.0,East,Bhubaneswar,2024,2,February,Q1
ORD-01764,2024-02-02,CUST-0132,PROD-408,4,3799,0.05,149,14436.2,7596,6691.2,North,Lucknow,2024,2,February,Q1
ORD-00913,2024-02-02,CUST-0185,PROD-410,1,2799,0.15,99,2379.15,1399,881.15,East,Kolkata,2024,2,February,Q1
ORD-01145,2024-02-03,CUST-0146,PROD-103,1,95000,0.0,99,95000.0,57000,37901.0,North,Lucknow,2024,2,February,Q1
ORD-00243,2024-02-04,CUST-0164,PROD-202,2,74999,0.0,499,149998.0,89998,59501.0,West,Pune,2024,2,February,Q1
ORD-00886,2024-02-04,CUST-0063,PROD-104,1,32000,0.0,249,32000.0,19200,12551.0,North,Chandigarh,2024,2,February,Q1
ORD-01163,2024-02-04,CUST-0185,PROD-303,1,145000,0.0,0,145000.0,87000,58000.0,East,Kolkata,2024,2,February,Q1
ORD-00792,2024-02-04,CUST-0071,PROD-504,3,5499,0.05,249,15672.15,9072,6351.15,West,Surat,2024,2,February,Q1
ORD-00859,2024-02-05,CUST-0045,PROD-102,1,78000,0.1,499,70200.0,46800,22901.0,West,Indore,2024,2,February,Q1
ORD-00451,2024-02-05,CUST-0031,PROD-509,1,38000,0.05,299,36100.0,20900,14901.0,West,Surat,2024,2,February,Q1
ORD-00513,2024-02-05,CUST-0105,PROD-208,1,134999,0.05,0,128249.05,80999,47250.05,South,Coimbatore,2024,2,February,Q1
ORD-01484,2024-02-06,CUST-0094,PROD-209,1,29999,0.05,299,28499.05,17999,10201.05,North,Jaipur,2024,2,February,Q1
ORD-00562,2024-02-06,CUST-0128,PROD-101,1,55000,0.05,149,52250.0,33000,19101.0,West,Surat,2024,2,February,Q1
ORD-01665,2024-02-07,CUST-0041,PROD-204,1,89999,0.05,0,85499.05,53999,31500.05,North,Chandigarh,2024,2,February,Q1
